Ownership_Type,Revenue_Mln,EBITDA_Mln,Debt_Ratio,ROE_Percent,Debt_Ratio_Prev
Private,513.0570602357257,128.5893123558791,1.599529847786735,4.820723127868153,1.776749825390143
Public,455.14889743011986,150.1255762864629,1.1998915614206027,5.950893525850233,1.0273471315864044
Public,513.7641164803254,121.82460828913244,1.5349010424950094,9.290200459692944,1.5213501106773624
Private,201.8646628098661,118.47039486720699,1.30734320156912,2.116359531381587,1.2468685219364488
Private,467.0492168243732,132.40398790021845,1.556758672625624,0.026765092452681216,1.9141806764471117
Private,553.5668857267619,116.96278252128343,1.8310653372605232,-1.4467006344162527,1.8071623425661052
Private,721.6841067112274,153.64871422627905,2.293008408072676,-9.715754437510828,2.542464983418861
Public,422.2594672589529,117.62667719581786,0.8810922505865755,6.373996930265113,1.584152024858171
Public,378.72595956602186,89.0949202583592,2.566516687328133,-7.8095314832861575,3.0453751506834292
Public,424.7364434623195,124.03412321788218,0.5239561002387491,11.259532557518632,0.49219164317845887
Private,637.3103176553111,171.1585200281664,1.4241074524822084,4.63240830747381,1.4201760845856133
Public,549.3126664489527,135.50744379581636,1.7941586032422883,6.275243691709351,2.0307545011094623
Public,420.53596943494415,83.96414940702591,1.6404959338675162,4.72730404361802,1.2398971217634265
Private,576.9901149670034,106.37634812460422,1.1886502400897032,3.7600871122951656,1.0300245915867594
Private,514.5616324022061,117.477534298876,1.3959388748213624,1.1372449873840278,1.6438121292584849
Private,645.2967485799334,182.73415700307015,1.2534995326705836,6.44776125315485,1.3162055138269377
Private,394.69203591839715,104.02535258285438,1.2053176215278942,1.396759406714919,1.8858585077479968
Private,450.8506780103348,81.56920003478399,1.9248010485105123,5.095967909478963,1.8392682520151957
Private,441.1837770301764,114.62546740382365,1.6785077429825237,5.110258418303673,1.4644560471180066
Private,280.4727577801822,79.75112393826646,1.1535452023696728,4.364111424728502,0.9866599257716121
Public,544.4180415596865,114.00807448489329,1.9497999377166253,-5.737803089005634,2.0540120988757637
Private,539.1582908269834,138.63270035538403,1.6536497604383047,5.8324190389898,1.7054008545885695
Private,500.76701849636913,126.64697258524228,1.90643105941948,-0.5950680111136943,2.6755389540690615
Private,464.811929993728,87.62872505266641,1.814814420961806,4.194933568225938,1.795079705404149
Private,287.6943886924379,80.86828118181656,1.085502494538964,1.532697067305186,1.2018358635483355
Public,436.90320158519614,123.2454135555049,1.2199094799015153,3.4425990919265583,1.5851640244600511
Private,448.59282252098456,139.22448670962805,1.8736468025616309,0.02655667866150324,1.9412526341587506
Private,379.6584096167572,121.25965370506187,1.8051851327167325,0.6994607195603653,2.0718672279922785
Private,475.80714325009865,84.51005161359738,1.489549203017926,1.733409961418861,1.708021193802979
Private,560.6076285221808,116.70628113266713,1.558663691654391,4.3992402638073695,1.9098251984485803
Public,782.9278851815795,208.60785297561137,2.1388324478942122,-5.313520871301481,1.8164689967752392
Private,526.1866719247759,144.39131675399918,1.204214305582085,4.939147100279438,1.5465691296725557
Private,538.6325586084147,147.53433180975486,1.7735486905850188,1.1724973704555453,1.832063597192716
Public,488.83311263507494,218.52656542513677,1.398903673783053,5.352087111911823,1.5550572493832517
Public,212.18431770514377,67.31834219361511,1.39115939838639,6.005569447175551,1.3751619577323704
